Year,Mean,StdDev,Min,Max
2011,1.51,1.05,0.12,6.9
2012,1.48,1,0.12,6.46
2013,1.45,0.95,0.12,6.07
2014,1.42,0.9,0.12,5.72
2015,1.33,1.16,-0.25,7.76
2016,1.22,1.44,-0.69,9.34
2017,1.19,1.35,-0.7,8.54
2018,1.16,1.27,-0.7,7.87
2019,1.13,1.2,-0.71,7.3
2020,0.92,0.64,-0.13,3.89
2021,0.71,0.35,-0.05,1.76
2022,0.71,0.35,-0.05,1.73
2023,0.7,0.34,-0.05,1.7
2024,0.7,0.34,-0.05,1.67
2025,0.69,0.31,-0.05,1.44
2026,0.68,0.33,-0.05,1.45
2027,0.67,0.32,-0.05,1.43
2028,0.66,0.32,-0.05,1.41
2029,0.66,0.31,-0.05,1.39
2030,0.61,0.29,-0.06,1.3
2031,0.57,0.29,-0.06,1.45
2032,0.56,0.29,-0.06,1.43
2033,0.56,0.28,-0.06,1.41
2034,0.56,0.28,-0.06,1.39
2035,0.5,0.29,-0.12,1.44
2036,0.45,0.34,-0.18,2.13
2037,0.45,0.34,-0.18,2.09
2038,0.44,0.33,-0.19,2.04
2039,0.44,0.33,-0.19,2
2040,0.37,0.25,-0.18,1.24
2041,0.3,0.21,-0.17,0.92
2042,0.3,0.2,-0.17,0.91
2043,0.3,0.2,-0.17,0.91
2044,0.3,0.2,-0.17,0.9
2045,0.23,0.2,-0.23,0.77
2046,0.17,0.21,-0.29,1
2047,0.17,0.21,-0.29,0.99
2048,0.17,0.21,-0.29,0.98
2049,0.17,0.21,-0.29,0.97
2050,0.15,0.19,-0.27,0.78
