Year,Mean,StdDev,Min,Max
2011,0.96,1.07,-1.73,6.24
2012,0.94,1.03,-1.76,5.88
2013,0.92,1,-1.79,5.55
2014,0.9,0.98,-1.82,5.26
2015,0.45,1.19,-4.64,6.02
2016,-0.02,1.65,-8.12,6.64
2017,-0.04,1.7,-8.84,6.23
2018,-0.07,1.76,-9.7,5.86
2019,-0.11,1.84,-10.74,5.54
2020,0.4,0.97,-5.3,3.01
2021,0.92,0.57,-0.1,3.41
2022,0.91,0.56,-0.1,3.3
2023,0.89,0.54,-0.1,3.19
2024,0.88,0.53,-0.1,3.09
2025,0.87,0.45,-0.07,2.65
2026,0.86,0.47,-0.05,3.33
2027,0.85,0.46,-0.05,3.22
2028,0.84,0.45,-0.05,3.12
2029,0.83,0.44,-0.05,3.03
2030,0.8,0.39,-0.06,2.27
2031,0.77,0.47,-0.06,2.89
2032,0.76,0.46,-0.06,2.81
2033,0.76,0.45,-0.06,2.73
2034,0.75,0.44,-0.06,2.66
2035,0.67,0.42,-0.12,3.38
2036,0.59,0.56,-0.19,5.69
2037,0.59,0.54,-0.19,5.39
2038,0.58,0.51,-0.19,5.11
2039,0.57,0.5,-0.19,4.86
2040,0.48,0.33,-0.18,2.59
2041,0.39,0.27,-0.17,1.46
2042,0.39,0.27,-0.17,1.44
2043,0.38,0.26,-0.17,1.42
2044,0.38,0.26,-0.17,1.4
2045,0.37,0.39,-0.23,2.91
2046,0.36,0.59,-0.3,4.49
2047,0.36,0.58,-0.3,4.3
2048,0.36,0.56,-0.3,4.12
2049,0.35,0.54,-0.3,3.96
2050,0.28,0.34,-0.28,2.17
